full_formula,task_id,formation_energy_per_atom
Ce1B2Rh3,mp-5757,-0.6882402838888879
Nd2B4C4,mp-5765,-0.4102558256666654
Cs4Te20Mo18,mp-581150,-0.42686877844827464
Cs12Cu8Cl20,mp-582024,-1.6649072809920686
Cs6Na2Li4B4O12,mp-607931,-2.340291353496716
Cs2Hg4Br10,mp-619510,-0.8301407595258623
Cl8F24,mp-619575,-1.1207972017074999
Ba8H16O16,mp-626973,-2.1299600771980005
Ba8Ti4Ge8O32,mp-6289,-2.9139264416666673
Tm2Co4,mp-632,-0.25759562333333247
Si8I32,mp-635441,-0.37838789874999995
Ce1In1Au2,mp-636232,-0.6310099458333331
K49Tl108,mp-640333,-0.11493527084076448
Zn2H4S2O10,mp-643066,-1.8171444888947224
Pr14C6I20,mp-645425,-1.1731686083125
Ta8Co16Te16,mp-653697,-0.318967448250001
Rb8Cd8S12O48,mp-6623,-2.1277906017303767
Sm20Pd42,mp-662804,-0.8512874483870974
Re8Hg20O40,mp-667343,-1.4528970541176471
Cs2Ti2Zn2O2F10,mp-676448,-3.225876151952618
Li12Al4Ge4O20,mp-6765,-2.6490856738750006
Cs6Ti6S27,mp-680170,-1.4394498542802279
Ba24Ga48O96,mp-680226,-2.629936111666667
Ta84Te52,mp-680343,-0.25388841514705973
Nd6Sn26Rh8,mp-680552,-0.579433895375
Cs4Ta4Se12,mp-685607,-0.9849116183976285
Ti2Tl2W2O10F2,mp-690560,-2.599426980734075
K4Mn2H4O2F10,mp-696630,-2.556864113081818
Al4H16N4F16,mp-696815,-2.273134414662
H32W4S16N8,mp-697283,-0.7239536266646667
Re2Ag2O8,mp-7094,-1.7334436756944445
Tc2Ag2O8,mp-7206,-1.5513988611111103
B2Pd4,mp-7424,-0.26842528222222245
Na4Dy4O8,mp-752672,-3.1673574429999993
Sm6Ta2O14,mp-752686,-3.8158707048863643
W4O4F12,mp-753398,-2.6175608549639997
Mn2Al4O8,mp-755882,-3.0652279058514296
Dy5Re2O12,mp-766367,-3.3796486910526315
Sr2Zr7O16,mp-770419,-3.782921809999999
Na4Co2As2C2O14,mp-772664,-1.8387531057500002
Ca4Sb8H8F56,mp-780667,-2.7892234329684213
K2Zn26,mp-784,-0.06617967628571415
Hf2Ge2S2,mp-7918,-1.2772910530208321
K2Rh1F6,mp-8018,-2.508714990348889
Tb1Zn1,mp-836,-0.3374857775
P2F10,mp-8511,-2.9417771163488093
La1Hg1Au2,mp-861617,-0.6235381168749998
Rb6Ge2P2Se14,mp-861898,-0.6710471506944659
Eu1Mg1Hg2,mp-861928,-0.42625478749999957
Al1Fe2W1,mp-862288,-0.20188096000000044
Be1Ru2W1,mp-862622,-0.21061632250000173
Li1Ca2Rh1,mp-862764,-0.24240619500000005
Pm2Ir1Au1,mp-863715,-0.70905615625
Yb2N4,mp-864757,-0.898728779919999
Mg2Ag1Pt1,mp-864932,-0.5768213616666666
Mg2Pt1Rh1,mp-864940,-0.7069672325000003
Dy2Hg6,mp-864994,-0.34619716874999984
Dy2Zn1In1,mp-865157,-0.3981230645833329
Ta1Zn1Ru2,mp-865234,-0.3472973687500005
Eu1Bi3,mp-865246,-0.46219330874999986
Lu1Tl1Rh2,mp-865438,-0.6015653199999997
Ti1Tc2W1,mp-865810,-0.4027041141666672
Yb1Sm1Zn2,mp-865991,-0.33567480812499984
Be1V1Ru2,mp-867874,-0.36035017000000114
